SG_UF,SG_UE,NM_UE,n_candidates_2016,top1_share_2016,margin_2016,hhi_2016,enp_2016,winner_party_2016,winner_sq_2016,winner_name_2016,winner_elected_2016
AL,27219,BRANQUINHA,2,0.5487340724805561,0.09746814496111206,0.5047500196410802,1.9811787242942243,PSDB,20000006787,JAIRON MAIA FERNANDES NETO,1
AL,27235,CACIMBINHAS,2,0.7891379028300344,0.5782758056600688,0.6672014537059008,1.4987976936285203,PMDB,20000001869,HUGO WANDERLEY CAJU,1
AL,27251,CAJUEIRO,2,0.5158943965517241,0.03178879310344823,0.5005052636834868,1.9979809855354236,PMDB,20000005532,ANTONIO PALMERY MELO NETO,1
AL,27278,CAMPO ALEGRE,3,0.8262594208647362,0.6604522015073384,0.7102596027561267,1.4079359097991078,PSDB,20000001018,PAULINE DE FÁTIMA PEREIRA ALBUQUERQUE,1
AL,27294,CAMPO GRANDE,2,0.5070152119332447,0.01403042386648945,0.5000984263969367,1.9996063718990447,PRB,20000005170,ARNALDO HIGINO LESSA,1
AL,27316,CANAPI,2,0.6088952361521983,0.21779047230439663,0.5237163449132861,1.9094305719359859,DEM,20000006985,VINICIUS JOSE MARIANO DE LIMA,1
AL,27332,CAPELA,2,0.5297185593387128,0.05943711867742568,0.5017663855383372,1.992959330918742,PMDB,20000003422,ADELMO MOREIRA CALHEIROS,1
AL,27359,CARNEIROS,3,0.72652156388553,0.49536477226924625,0.5830581666940412,1.7150947488996382,PMDB,20000000774,GERALDO NOVAIS AGRA FILHO,1
AL,27375,CHÃ PRETA,2,0.5241480242525611,0.04829604850512226,0.5011662541506046,1.9953458392661287,PMN,20000001962,RITA COIMBRA CERQUEIRA TENÓRIO,1
AL,27391,COITÉ DO NÓIA,2,0.5211223694466095,0.042244738893219,0.5008923089820781,1.9964371224469726,PMDB,20000001564,JOSÉ DE SENA NETTO,1
AL,27413,COLÔNIA LEOPOLDINA,2,0.565952148003202,0.13190429600640402,0.5086993716524726,1.9657975923020572,PSDB,20000007879,MANUILSON ANDRADE SANTOS,1
AL,27430,COQUEIRO SECO,3,0.49512773242033187,0.05398999209902555,0.44381606731233486,2.2531856632767004,PMDB,20000005847,MARIA DECELE DAMASO DE ALMEIDA,1
AL,27456,CORURIPE,3,0.6973535239173507,0.4913671101047269,0.5380755076333777,1.8584752247845453,PMDB,20000001276,JOAQUIM BELTRÃO SIQUEIRA,1
AL,27472,DELMIRO GOUVEIA,3,0.527821597590707,0.1654596300014341,0.4219614837949553,2.369884547296578,PSD,20000004008,ERALDO JOAQUIM CORDEIRO,1
AL,27499,DOIS RIACHOS,2,0.5474936022881228,0.09498720457624565,0.5045112845166048,1.982116219577022,PRP,20000004205,RAMON CAMILO SILVA,1
AL,27510,FEIRA GRANDE,3,0.5166363305424099,0.04892610120131047,0.48591098685411055,2.0579900991212594,PSDB,20000005324,FLÁVIO RANGEL APÓSTOLO LIRA,1
AL,27537,FELIZ DESERTO,2,0.5750176928520877,0.15003538570417546,0.5112553084817003,1.9559699105516353,PMDB,20000005709,ROSIANA LIMA BELTRÃO SIQUEIRA,1
AL,27553,FLEXEIRAS,2,0.5753466402559805,0.15069328051196096,0.5113542323957283,1.9555915188477742,PP,20000005339,MARIA ISABEL COSTA SOUZA,1
AL,27570,GIRAU DO PONCIANO,5,0.6745745491490983,0.36997713995427994,0.5480692793643651,1.8245868499686226,PTB,20000003604,DAVID RAMOS DE BARROS,1
AL,27596,IBATEGUARA,3,0.5810538780343398,0.18069863824748372,0.4982535481037227,2.0070102938671446,PT do B,20000002933,MANOEL GERAERTES ALVES CRUZ,1
AL,27618,IGACI,2,0.5407257218765295,0.08145144375305885,0.5033171688447289,1.9868187733299747,PMDB,20000004006,OLIVEIRO TORRES PIANCO,1
AL,27634,IGREJA NOVA,3,0.35333079558431674,0.011115340692805509,0.33464615427417743,2.988230963445331,PMDB,20000002538,VERÔNICA DANTAS LIMA E SILVA,1
AL,27650,INHAPI,3,0.4870661780556154,0.05960336279370554,0.42726321322065774,2.3404776471677087,PT,20000007342,JOSÉ CICERO VIEIRA,1
AL,27677,JACARÉ DOS HOMENS,2,0.51075,0.02150000000000002,0.500231125,1.9990759271526737,PSB,20000000759,JOSE FLORIANO BENTO DE MELO,1
AL,27693,JACUÍPE,3,0.4455596770674231,0.15710233471525203,0.3524780101437405,2.8370564154972393,PDT,20000002441,AMARO FERREIRA DA SILVA JUNIOR,1
AL,27715,JAPARATINGA,5,0.34546805349182763,0.028974739970282326,0.27735672975234527,3.6054650662088155,PMDB,20000003912,KLEVER RÊGO LOUREIRO JUNIOR,1
AL,27731,JARAMATAIA,2,0.5222488675726086,0.044497735145217154,0.5009900242165269,1.9960477288222447,PSB,20000005253,JEFFERSON TORRES BARRETO,1
AL,27758,JOAQUIM GOMES,5,0.4516353514265832,0.012923749875733193,0.4027339897507579,2.483028563392117,PSB,20000004482,ADRIANO FERREIRA BARROS,1
AL,27774,JUNDIÁ,1,1.0,1.0,1.0,1.0,PMDB,20000006192,CARLOS ANTONIO DE MORAES E LIMA FILHO,1
AL,27790,JUNQUEIRO,3,0.4951297547102737,0.00021329541414855102,0.4901948535372754,2.0400050975320125,PMDB,20000001307,CARLOS AUGUSTO LIMA DE ALMEIDA,1
AL,27812,LAGOA DA CANOA,3,0.5079337249057596,0.020513719645831485,0.4955965182476014,2.01777043054285,PP,20000007347,TAINA CORREA DE SA LUCIO DA SILVA,1
AL,27839,LIMOEIRO DE ANADIA,2,0.5700078141649499,0.1400156283298999,0.5098021880883084,1.9615451313574574,PP,20000002090,MARCELO RODRIGUES BARBOSA,1
AL,27855,MACEIÓ,7,0.4685801214627827,0.2212904529302005,0.3297809689557727,3.032315670508298,PSDB,20000001535,RUI SOARES PALMEIRA,0
AL,27871,MAJOR ISIDORO,2,0.5672185143451504,0.13443702869030072,0.5090366573415384,1.96449506254134,PMDB,20000006613,MARIA SANTANA MARIANO SILVA CAMPOS,1
AL,27898,MARAGOGI,3,0.5724722765818656,0.1521200260926288,0.5044720093579435,1.9822705352329255,PP,20000005996,FERNANDO SERGIO LIRA NETO,1
AL,27910,MARAVILHA,2,0.5520798106188705,0.10415962123774092,0.5054246133481948,1.978534431426838,PMDB,20000002549,MARIA DA CONCEIÇÃO RIBEIRO DE ALBUQUERQUE,1
AL,27936,MARECHAL DEODORO,2,0.5001477978125923,0.00029559562518471916,0.5000000436883867,1.9999998252464686,PSD,20000004338,CLAUDIO ROBERTO AYRES DA COSTA,1
AL,27952,MARIBONDO,3,0.4512020792722547,0.12293697205977905,0.35997601878978486,2.777962830307232,PRB,20000001349,LEOPOLDO CESAR AMORIM PEDROSA,1
AL,27979,MAR VERMELHO,2,0.5081315504156125,0.01626310083122512,0.5001322442243232,1.9994711629739916,PMDB,20000002541,JULIANA LOPES DE FARIAS ALMEIDA,1
AL,27995,MATA GRANDE,2,0.5446905435124096,0.08938108702481934,0.503994489358869,1.9841486784351534,PP,20000004628,ERIVALDO DE MELO LIMA,1
AL,28010,MATRIZ DE CAMARAGIBE,2,0.53946797744687,0.07893595489374006,0.5031154424874933,1.9876153970862434,PSD,20000008590,ANDERSON KENNEDY DA SILVA BOLEVARD,1
AL,28037,MESSIAS,3,0.5468346894225045,0.10875173645564595,0.4911723287470648,2.035945311803105,PSDB,20000000713,JARBAS MAYA DE OMENA FILHO,1
AL,28053,MINADOR DO NEGRÃO,3,0.5009575923392613,0.1540355677154583,0.3944540114267322,2.535149779268362,PMDB,20000001278,GLEYSSON CORREIA CARDOSO FERRO,1
AL,28070,MONTEIRÓPOLIS,3,0.7224043715846995,0.4638251366120219,0.5890929200633044,1.6975250693770674,PR,20000003468,MAILSON DE MENDONCA LIMA,1
AL,28096,MURICI,3,0.621014916642293,0.24371161158233395,0.5280201390796454,1.893867157686503,PMDB,20000003093,OLAVO CALHEIROS NOVAIS NETO,1
AL,28118,NOVO LINO,2,0.5371867421180275,0.074373484236055,0.5027657075787054,1.9889980261699831,PSDB,20000003873,LUCIENE MARIA FERREIRA,1
AL,28134,OLHO D ÁGUA DAS FLORES,5,0.48902281532501074,0.001549720189410242,0.47697866456993254,2.0965298330516506,PR,20000001240,CARLOS ANDRE PAES BARRETO DOS ANJOS,1
AL,28150,OLHO D ÁGUA DO CASADO,4,0.573634859349145,0.20941349512778085,0.4636456869535429,2.1568193733681804,PT,20000007498,JOSÉ DOS SANTOS,1
AL,28177,OLHO D ÁGUA GRANDE,3,0.5126737530662305,0.032433905696375,0.4935149051436159,2.026281252253149,PSDB,20000003248,JOSE ADELSON DE SOUZA,1
AL,28193,OLIVENÇA,2,0.5007844815290258,0.0015689630580515979,0.5000012308225388,1.9999950767219643,PSD,20000001657,JOSÉ ARNALDO SILVA,1
AL,28215,OURO BRANCO,2,0.6036565977742449,0.2073131955484897,0.5214893805242632,1.9175845901112714,PMDB,20000003160,EDIMAR BARBOSA DOS SANTOS,1
AL,28231,PALESTINA,2,0.5001337971635001,0.00026759432700029784,0.5000000358033619,1.9999998567865624,PSD,20000000830,ELIANE SILVA LISBOA,1
AL,28258,PALMEIRA DOS ÍNDIOS,3,0.6462006574479068,0.3762666739112717,0.49747304359685507,2.010159169167738,PSB,20000002064,JULIO CEZAR DA SILVA,1
AL,28274,PÃO DE AÇÚCAR,3,0.542129820227803,0.0862494853849321,0.5017355811595209,1.9930816899391113,PMDB,20000000735,FLAVIO ALMEIDA DA SILVA JUNIOR,1
AL,28290,PASSO DE CAMARAGIBE,3,0.5092397919663605,0.01914352108000439,0.4995199612711902,2.00192200018429,PSD,20000003986,EDVANIA FARIAS ROCHA UGÁ CAMARA,1
AL,28312,PAULO JACINTO,3,0.559499384489126,0.3024210094378334,0.41277257045793636,2.422641598715206,PMDB,20000001016,MARCOS ANTONIO DE ALMEIDA,1
AL,28339,PENEDO,4,0.41783822663963904,0.016903158307722488,0.3626063865191997,2.7578113270408458,PDT,20000002804,MARCIUS BELTRÃO SIQUEIRA,1
AL,28355,PIAÇABUÇU,3,0.49574257425742574,0.06495049504950495,0.4367396725811195,2.2896935240392233,PRB,20000003447,DJALMA GUTTEMBERG SIQUEIRA BREDA,1
AL,28371,PILAR,3,0.44101416853094705,0.14685558041262736,0.35115624062955436,2.8477352366205877,PSDB,20000000940,RENATO REZENDE ROCHA FILHO,1
AL,28398,PINDOBA,2,0.572044040210627,0.14408808042125415,0.5103806874597409,1.95932178581675,PSB,20000003601,MAXWELL TENORIO CAVALCANTE,1
AL,28410,PIRANHAS,3,0.5058101293575971,0.019732514799386147,0.49218114303412525,2.031772273588843,PP,20000001074,MARISTELA SENA DIAS,1
AL,28436,POÇO DAS TRINCHEIRAS,3,0.5071382636655949,0.03524115755627011,0.4803156129485841,2.0819643855862875,PMDB,20000002316,MARIA APARECIDA FERREIRA RODRIGUES SILVA,1
AL,28452,PORTO CALVO,3,0.4138196269469906,0.07095698993654254,0.3480049921771823,2.873521996750158,PMDB,20000002601,DAVID KLEVISSON DA FONSECA SILVA PEDROSA,1
AL,28479,PORTO DE PEDRAS,2,0.6105734767025089,0.2211469534050179,0.5244529875001606,1.9067486006068253,PSDB,20000002116,CARLOS HENRIQUE VILELA DE VASCONCELOS,1
AL,28495,PORTO REAL DO COLÉGIO,4,0.45063694267515925,0.18823332215890043,0.31846730590566347,3.140039751195749,PSDB,20000002243,ALDO ENIO BORGES,1
AL,28517,QUEBRANGULO,3,0.578332034294622,0.21499090672902055,0.46988673691938215,2.1281724326932188,PMDB,20000001332,MARCELO RICARDO VASCONCELOS LIMA,1
AL,28533,RIO LARGO,6,0.320667072799269,0.04769519748197787,0.2382659341970961,4.196991077930551,PP,20000003645,GILBERTO GONÇALVES DA SILVA,1
AL,28550,ROTEIRO,5,0.6997389033942559,0.5782103014478994,0.5166332955272946,1.9356088905949504,PDT,20000005008,WLADIMIR CHAVES DE BRITO,1
AL,28576,SANTA LUZIA DO NORTE,11,0.20008505209440783,0.03476504358919838,0.14322764560186588,6.981892328103539,PP,20000630711,MARCIO AUGUSTO ARAÚJO LIMA,1
AL,28592,SANTANA DO IPANEMA,4,0.5708668076109936,0.15412262156448198,0.499663972037599,2.0013450157754247,PMDB,20000002198,ISNALDO BULHOES BARROS,1
AL,28614,SANTANA DO MUNDAÚ,3,0.4411631761337954,0.1505198131686003,0.3510262448822376,2.848789840017462,PMDB,20000001913,ARTHUR DA PURIFICAÇÃO FREITAS LOPES,1
AL,28630,SÃO BRÁS,3,0.6725315669633616,0.35789691575243215,0.5514583782607676,1.8133734827891779,PMDB,20000002114,MARCOS SANDES,1
AL,28657,SÃO JOSÉ DA LAJE,1,1.0,1.0,1.0,1.0,PMDB,20000002551,BRUNO RODRIGO VALENÇA DE ARAÚJO,1
AL,28673,SÃO JOSÉ DA TAPERA,2,0.6601148260722729,0.3202296521445458,0.5512735150563084,1.8139815766368852,PSB,20000003670,JOSÉ ANTONIO CAVALCANTE,1
AL,28690,SÃO LUÍS DO QUITUNDE,4,0.40052480916030536,0.06846374045801529,0.33898518903919134,2.9499813925038074,PMDB,20000001254,FERNANDA MARIA SILVA CAVALCANTI DE OLIVEIRA,1
AL,28711,SÃO MIGUEL DOS CAMPOS,5,0.4722324138621127,0.057736566492111674,0.39932708858211624,2.504212783436963,DEM,20000008129,PEDRO RICARDO ALVES JATOBÁ,1
AL,28738,SÃO MIGUEL DOS MILAGRES,3,0.538140210679259,0.08626952415546674,0.49388178586408865,2.024776026616195,PSD,20000005231,RUBENS FELISBERTO DE ATAIDE JUNIOR,1
AL,28754,SÃO SEBASTIÃO,3,0.5632444397596711,0.1593232844945715,0.48147469674095583,2.076952344056457,PP,20000001553,JOSÉ PACHECO FILHO,1
AL,28770,SATUBA,5,0.5406009436304942,0.326297491929476,0.36426797290625007,2.745231737014018,PMDB,20000004295,JOSE PAULINO ACIOLY DE ARAUJO,1
AL,28797,TANQUE D ARCA,5,0.3223406893131664,0.011157946937763452,0.26882539652872484,3.719886636131668,PSD,20000007265,WILMARIO VALENÇA SILVA JUNIOR,1
AL,28819,TAQUARANA,3,0.5579891933616364,0.12205712080277886,0.5014256628018401,1.9943135626769726,PP,20000001009,SEBASTIÃO ANTONIO DA SILVA,1
AL,28835,TRAIPU,2,0.505927636643572,0.011855273287143975,0.5000702737523565,1.9997189444922245,PSDB,20000006807,EDUARDO TAVARES MENDES,1
AL,28851,UNIÃO DOS PALMARES,3,0.5518661917299055,0.1574415363171751,0.4630117754725756,2.159772284364354,PMDB,20000007321,ARESKI DAMARA DE OMENA FREITAS JUNIOR,1
AL,28878,VIÇOSA,3,0.5049873653411358,0.03930043888814999,0.4727365497851866,2.1153431027374636,PDT,20000003212,DAVID DANIEL VASCONCELOS BRANDÃO DE ALMEIDA,1
AL,28894,CRAÍBAS,3,0.41375850949480475,0.06850591185954857,0.34847110683993354,2.8696783761166724,PMDB,20000003908,EDIEL BARBOSA LIMA,1
AL,28916,SENADOR RUI PALMEIRA,2,0.58480385008021,0.16960770016041998,0.5143833859768534,1.9440752311642482,PMDB,20000000715,JEANE OLIVEIRA MOURA SILVA CHAGAS,1
AL,28932,TEOTÔNIO VILELA,2,0.632121032919377,0.26424206583875415,0.5349119346793663,1.8694666078060382,PSDB,20000001014,JOÃO JOSÉ PEREIRA FILHO,1
AM,02003,APUÍ,4,0.6296399277074934,0.30112609481440294,0.5052792900028371,1.9791034775923333,DEM,40000006100,ANTONIO ROQUE LONGO,1
AM,02011,NOVO AIRÃO,12,0.26710665587447857,0.11406512670443936,0.14369649510506494,6.9591119760356115,MDB,40000616142,ROBERTO FREDERICO PAES JUNIOR,1
AM,02020,GUAJARÁ,3,0.3527239150507849,0.01846722068328721,0.33412283685838984,2.9929112580348005,PR,40000004045,ORDEAN GONZAGA DA SILVA,1
AM,02038,ANORI,2,0.5725003074652564,0.1450006149305128,0.5105125891651134,1.958815553668106,PMDB,40000006919,JAMILSON RIBEIRO CARVALHO,1
AM,02046,CAREIRO DA VÁRZEA,1,1.0,1.0,1.0,1.0,PSD,40000005443,PEDRO DUARTE GUEDES,1
AM,02054,ATALAIA DO NORTE,4,0.2917948717948718,0.006666666666666654,0.25637665278690924,3.9005111781031125,PDT,40000007773,NONATO DO NASCIMENTO TENAZOR,1
AM,02070,AUTAZES,3,0.4640812821980538,0.07469948483113908,0.38846268965786135,2.5742497970158995,PROS,40000002221,ANDRESON ADRIANO OLIVEIRA CAVALCANTE,1
AM,02097,BARCELOS,6,0.3699588477366255,0.09437585733882031,0.2652759196223099,3.769659912681721,PSB,40000009132,EDSON DE PAULA RODRIGUES MENDES,1
AM,02119,BARREIRINHA,5,0.39069052278445626,0.2105116019010344,0.24690067643204588,4.050211665885122,PMDB,40000011247,GLENIO JOSÉ MARQUES SEIXAS,1
AM,02135,BENJAMIN CONSTANT,3,0.6307502114646366,0.3093890298653133,0.5034121569758716,1.9864438832928895,PR,40000002840,DAVID NUNES BEMERGUY,1
AM,02151,BOCA DO ACRE,2,0.618604040934138,0.23720808186827602,0.5281338370518134,1.8934594412323054,PSDB,40000006117,JOSE MARIA SILVA DA CRUZ,1
AM,02178,BORBA,5,0.3953606287235391,0.033400938014957526,0.3155433866343096,3.1691362974402084,SD,40000001639,SIMÃO PEIXOTO LIMA,1
AM,02194,CANUTAMA,2,0.5005459366713462,0.0010918733426922844,0.5000005960936983,1.9999976156280495,PP,40000006131,OTANIEL LYRA DE OLIVEIRA,1
AM,02216,CARAUARI,3,0.5384089873994231,0.1255503264004858,0.46271135376693345,2.1611745462025067,PMDB,40000008130,BRUNO LUIS LITAIFF RAMALHO,1
AM,02232,CAREIRO,7,0.4871443263627014,0.24038395611930063,0.3240059048837045,3.086363504266782,PROS,40000006041,NATHAN MACENA DE SOUZA,1
AM,02259,COARI,5,0.5496796109009496,0.28672894310198416,0.38749520941544563,2.5806770656817823,PP,40000003178,ADAIL JOSE FIGUEIREDO PINHEIRO,1
AM,02275,CODAJÁS,3,0.3677145884846344,0.03488166725538677,0.33566356597697616,2.979173497991712,PSD,40000007626,ABRAHAM LINCOLN DIB BASTOS,1
AM,02291,EIRUNEPÉ,4,0.555774421828263,0.19216458743707598,0.4443669116754329,2.250392578127877,PROS,40000004068,RAYLAN BARROSO DE ALENCAR,1
AM,02313,ENVIRA,4,0.488279698053238,0.028473049927161986,0.4512515880841777,2.2160586830188778,PROS,40000005336,IVON RATES DA SILVA,1
AM,02330,FONTE BOA,2,0.53429727171013,0.06859454342025995,0.5023526056935169,1.9906336478925235,PMDB,40000006121,GILBERTO FERREIRA LISBOA,1
AM,02356,HUMAITÁ,4,0.4941403557148766,0.08134565007583067,0.4208666331043833,2.37604961130758,PROS,40000004914,HERIVANEO VIEIRA DE OLIVEIRA,1
AM,02372,SANTA ISABEL DO RIO NEGRO,3,0.52087639520463,0.07689127738735013,0.4696697171917032,2.1291557947983137,PMDB,40000009064,ARAILDO MENDES DO NASCIMENTO,1
AM,02399,IPIXUNA,3,0.5740173217854764,0.16748834110592942,0.49514014418990493,2.019630223350386,PSDB,40000011933,MARIA DO SOCORRO DE PAULA OLIVEIRA,1
AM,02410,ITACOATIARA,4,0.4386700525600898,0.07330852969546647,0.3456313956244048,2.893255684118155,PT,40000003555,ANTONIO PEIXOTO DE OLIVEIRA,1
AM,02437,ITAPIRANGA,6,0.4647795672685863,0.11517813567593949,0.35545990538355493,2.8132568114003225,PROS,40000002694,DENISE DE FARIAS LIMA,1
AM,02453,JAPURÁ,3,0.532809871003926,0.14806505888951205,0.43871215936389324,2.2793988692949405,PMDB,40000005952,GRACINEIDE LOPES DE SOUZA,1
AM,02470,JURUÁ,2,0.5190102595051298,0.038020519010259546,0.5007227799329048,1.9971130535223436,PMDB,40000007573,JOSE MARIA RODRIGUES DA ROCHA JUNIOR,1
AM,02496,JUTAÍ,2,0.5216469538049543,0.04329390760990853,0.5009371812180676,1.9962582884513032,PDT,40000006669,PEDRO MACARIO BARBOZA,1
AM,02518,LÁBREA,2,0.7168932527693856,0.43378650553877135,0.5940853661937693,1.6832597752859577,PMDB,40000007888,GEAN CAMPOS DE BARROS,1
AM,02534,MANACAPURU,6,0.28146399516163645,0.015783210098132938,0.22525476917668322,4.439417658747236,PROS,40000007000,BETANAEL DA SILVA DANGELO,1
AM,02550,MANAUS,9,0.35168224930288206,0.10303740797560809,0.22336185362004993,4.477040209833913,PSDB,40000003330,ARTHUR VIRGILIO DO CARMO RIBEIRO NETO,0
AM,02577,MANICORÉ,3,0.4497720114699384,0.07201617073285382,0.37474097927701855,2.668509864945337,PSD,40000002319,MANUEL SEBASTIÃO PIMENTEL DE MEDEIROS,1
AM,02593,MARAÃ,3,0.5213435969209237,0.23960811756473055,0.38995187657838404,2.564418996452734,PMDB,40000007143,LUIZ MAGNO PRAIANO MORAES,1
AM,02615,MAUÉS,4,0.4013693881088577,0.10383081989946263,0.31150234886728345,3.21024866629835,PROS,40000003914,CARLOS ROBERTO DE OLIVEIRA JÚNIOR,1
AM,02631,NHAMUNDÁ,2,0.5016682113067655,0.003336422613531065,0.500005565857928,1.9999777368161156,PROS,40000010634,GLEDSON HADSON PAULAIN MACHADO,1
