key,id_municipio,id_municipio_tse
AC|CRUZEIRO DO SUL,1200203,1074
AC|TARAUACA,1200609,1473
AC|JORDAO,1200328,1104
AC|FEIJO,1200302,1139
AC|SANTA ROSA DO PURUS,1200435,1031
AC|SENA MADUREIRA,1200500,1457
AC|MANOEL URBANO,1200344,1554
AC|SENADOR GUIOMARD,1200450,1538
AC|PLACIDO DE CASTRO,1200385,1511
AC|BUJARI,1200138,1007
AC|CAPIXABA,1200179,1015
AC|RIO BRANCO,1200401,1392
AC|ACRELANDIA,1200013,1120
AC|PORTO ACRE,1200807,1023
AC|EPITACIOLANDIA,1200252,1112
AC|XAPURI,1200708,1490
AC|ASSIS BRASIL,1200054,1570
AC|BRASILEIA,1200104,1058
AM|SAO GABRIEL DA CACHOEIRA,1303809,2836
AM|SANTA ISABEL DO RIO NEGRO,1303601,2372
AM|BARCELOS,1300409,2097
AM|NOVO AIRAO,1303205,2011
AM|JAPURA,1302108,2453
AM|MARAA,1302801,2593
AM|JUTAI,1302306,2496
AM|FONTE BOA,1301605,2330
AM|TONANTINS,1304237,98515
AM|SANTO ANTONIO DO ICA,1303700,2739
AM|AMATURA,1300060,2917
AM|BENJAMIN CONSTANT,1300607,2135
AM|SAO PAULO DE OLIVENCA,1303908,2755
AM|ATALAIA DO NORTE,1300201,2054
AM|TABATINGA,1304062,98477
AM|CARAUARI,1301001,2216
AM|JURUA,1302207,2470
AM|EIRUNEPE,1301407,2291
AM|GUAJARA,1301654,2020
AM|ENVIRA,1301506,2313
AM|ITAMARATI,1301951,98370
AM|IPIXUNA,1301803,2399
AM|ALVARAES,1300029,2895
AM|TEFE,1304203,2810
AM|UARINI,1304260,98493
AM|CODAJAS,1301308,2275
AM|ANORI,1300102,2038
AM|COARI,1301209,2259
AM|BERURI,1300631,2950
AM|CAAPIRANGA,1300839,2992
AM|ANAMA,1300086,2933
AM|AUTAZES,1300300,2070
AM|CAREIRO,1301100,2232
AM|MANAQUIRI,1302553,98396
AM|IRANDUBA,1301852,98353
AM|MANAUS,1302603,2550
AM|CAREIRO DA VARZEA,1301159,2046
AM|MANACAPURU,1302504,2534
AM|PRESIDENTE FIGUEIREDO,1303536,98418
AM|RIO PRETO DA EVA,1303569,98434
AM|NOVA OLINDA DO NORTE,1303106,2658
AM|SILVES,1304005,2771
AM|URUCURITUBA,1304401,2879
AM|ITAPIRANGA,1302009,2437
AM|ITACOATIARA,1301902,2410
AM|PARINTINS,1303403,2690
AM|BARREIRINHA,1300508,2119
AM|NHAMUNDA,1303007,2631
AM|BOA VISTA DO RAMOS,1300680,2976
AM|MAUES,1302900,2615
AM|URUCARA,1304302,2852
AM|SAO SEBASTIAO DO UATUMA,1303957,98450
AM|PAUINI,1303502,2712
AM|BOCA DO ACRE,1300706,2151
AM|LABREA,1302405,2518
AM|CANUTAMA,1300904,2194
AM|TAPAUA,1304104,2798
AM|BORBA,1300805,2178
AM|APUI,1300144,2003
AM|MANICORE,1302702,2577
AM|HUMAITA,1301704,2356
AM|NOVO ARIPUANA,1303304,2674
RR|BOA VISTA,1400100,3018
RR|ALTO ALEGRE,1400050,3050
RR|PACARAIMA,1400456,3123
RR|AMAJARI,1400027,3042
RR|BONFIM,1400159,3077
RR|CANTA,1400175,3069
RR|UIRAMUTA,1400704,3107
RR|NORMANDIA,1400407,3115
RR|MUCAJAI,1400308,3093
RR|IRACEMA,1400282,3026
RR|CARACARAI,1400209,3034
RR|RORAINOPOLIS,1400472,3085
RR|SAO JOAO DA BALIZA,1400506,3131
RR|CAROEBE,1400233,3000
RR|SAO LUIZ,1400605,3158
PA|FARO,1503002,4596
PA|JURUTI,1503903,4774
PA|ORIXIMINA,1505304,5053
PA|TERRA SANTA,1507979,4367
PA|OBIDOS,1505106,5010
PA|ALENQUER,1500404,4073
PA|MONTE ALEGRE,1504802,4952
PA|SANTAREM,1506807,5355
PA|PRAINHA,1506005,5193
PA|MOJUI DOS CAMPOS,1504752,4863
PA|BELTERRA,1501451,4804
PA|PLACAS,1505650,4626
PA|CURUA,1502855,4740
PA|ALMEIRIM,1500503,4090
PA|PORTO DE MOZ,1505908,5177
PA|MELGACO,1504505,4898
PA|GURUPA,1503101,4618
PA|PORTEL,1505809,5150
PA|BAGRE,1501105,4219
PA|BREVES,1501808,4359
PA|AFUA,1500305,4057
PA|ANAJAS,1500701,4138
PA|CURRALINHO,1502806,4553
PA|SAO SEBASTIAO DA BOA VISTA,1507706,5533
PA|CHAVES,1502509,4499
PA|SALVATERRA,1506302,5258
PA|SANTA CRUZ DO ARARI,1506401,5274
PA|PONTA DE PEDRAS,1505700,5134
PA|CACHOEIRA DO ARARI,1502004,4391
PA|MUANA,1504901,4979
PA|SOURE,1507904,5576
PA|SANTA BARBARA DO PARA,1506351,4243
PA|BENEVIDES,1501501,4294
PA|BELEM,1501402,4278
PA|BARCARENA,1501303,4251
PA|ANANINDEUA,1500800,4154
PA|MARITUBA,1504422,4642
PA|SANTO ANTONIO DO TAUA,1507003,5398
PA|BUJARU,1501907,4375
PA|SANTA ISABEL DO PARA,1506500,5290
PA|CASTANHAL,1502400,4472
PA|INHANGAPI,1503408,4677
PA|COLARES,1502608,4510
PA|VIGIA,1508209,5630
PA|SAO CAETANO DE ODIVELAS,1507102,5410
PA|TERRA ALTA,1507961,4545
PA|CURUCA,1502905,4570
PA|MAGALHAES BARATA,1504109,4812
PA|SAO JOAO DA PONTA,1507466,4820
PA|MARAPANIM,1504406,4871
PA|MARACANA,1504307,4855
PA|SALINOPOLIS,1506203,5231
PA|SAO JOAO DE PIRABAS,1507474,4065
PA|SANTA MARIA DO PARA,1506609,5312
PA|SAO FRANCISCO DO PARA,1507409,5479
PA|IGARAPE ACU,1503200,4634
PA|TRACUATEUA,1508035,4669
PA|BRAGANCA,1501709,4332
PA|AUGUSTO CORREA,1500909,4170
PA|NOVA TIMBOTEUA,1505007,4995
PA|SANTAREM NOVO,1506906,5371
PA|CAPANEMA,1502202,4430
PA|PEIXE BOI,1505601,5118
PA|BONITO,1501600,4316
PA|PRIMAVERA,1506104,5215
PA|QUATIPURU,1506112,4685
PA|OEIRAS DO PARA,1505205,5037
PA|CAMETA,1502103,4413
PA|LIMOEIRO DO AJURU,1504000,4790
PA|MOCAJUBA,1504604,4910
PA|ABAETETUBA,1500107,4014
PA|IGARAPE MIRI,1503309,4650
PA|BAIAO,1501204,4235
PA|TOME ACU,1508001,5592
PA|ACARA,1500206,4030
PA|CONCORDIA DO PARA,1502756,5819
PA|MOJU,1504703,4936
PA|TAILANDIA,1507953,4022
PA|SAO DOMINGOS DO CAPIM,1507201,5436
PA|IRITUIA,1503507,4693
PA|SAO MIGUEL DO GUAMA,1507607,5517
PA|SANTA LUZIA DO PARA,1506559,4146
PA|CACHOEIRA DO PIRIA,1501956,4766
PA|VISEU,1508308,5657
PA|MAE DO RIO,1504059,4103
PA|IPIXUNA DO PARA,1503457,4189
PA|AURORA DO PARA,1500958,4340
PA|CAPITAO POCO,1502301,4456
PA|OUREM,1505403,5070
PA|NOVA ESPERANCA DO PIRIA,1504950,4480
PA|GARRAFAO DO NORTE,1503077,5878
PA|JACAREACANGA,1503754,4200
PA|ITAITUBA,1503606,4715
PA|NOVO PROGRESSO,1505031,4383
PA|TRAIRAO,1508050,4286
PA|AVEIRO,1501006,4197
PA|RUROPOLIS,1506195,5894
PA|PACAJA,1505486,5916
PA|ALTAMIRA,1500602,4111
PA|SENADOR JOSE PORFIRIO,1507805,5550
PA|BRASIL NOVO,1501725,4227
PA|MEDICILANDIA,1504455,5770
PA|URUARA,1508159,5754
PA|VITORIA DO XINGU,1508357,4405
PA|ANAPU,1500859,4723
PA|JACUNDA,1503804,4758
PA|ITUPIRANGA,1503705,4731
PA|NOVA IPIXUNA,1504976,4600
PA|NOVO REPARTIMENTO,1505064,4421
PA|BREU BRANCO,1501782,4448
PA|TUCURUI,1508100,5614
PA|ULIANOPOLIS,1508126,4324
PA|DOM ELISEU,1502939,5975
PA|PARAGOMINAS,1505502,5096
PA|RONDON DO PARA,1506187,5738
PA|ABEL FIGUEIREDO,1500131,4502
PA|BOM JESUS DO TOCANTINS,1501576,4049
PA|GOIANESIA DO PARA,1503093,4006
PA|BANNACH,1501253,4588
PA|CUMARU DO NORTE,1502764,4529
PA|TUCUMA,1508084,4081
PA|OURILANDIA DO NORTE,1505437,5959
PA|SAO FELIX DO XINGU,1507300,5452
PA|CURIONOPOLIS,1502772,5851
PA|CANAA DOS CARAJAS,1502152,4707
PA|PARAUAPEBAS,1505536,5835
PA|ELDORADO DO CARAJAS,1502954,4120
PA|AGUA AZUL DO NORTE,1500347,4260
PA|PALESTINA DO PARA,1505494,4162
PA|MARABA,1504208,4839
PA|BREJO GRANDE DO ARAGUAIA,1501758,5932
PA|SAO JOAO DO ARAGUAIA,1507508,5495
PA|SAO DOMINGOS DO ARAGUAIA,1507151,4464
PA|PICARRA,1505635,4782
PA|SAO GERALDO DO ARAGUAIA,1507458,5797
PA|REDENCAO,1506138,5673
PA|PAU D ARCO,1505551,4308
PA|SAPUCAIA,1507755,4847
PA|RIO MARIA,1506161,5690
PA|XINGUARA,1508407,5711
PA|SANTANA DO ARAGUAIA,1506708,5339
PA|SANTA MARIA DAS BARREIRAS,1506583,5991
PA|CONCEICAO DO ARAGUAIA,1502707,4537
PA|FLORESTA DO ARAGUAIA,1503044,4561
AP|OIAPOQUE,1600501,6092
AP|CALCOENE,1600204,6033
AP|TARTARUGALZINHO,1600709,6173
AP|AMAPA,1600105,6017
AP|PRACUUBA,1600550,6009
AP|ITAUBAL,1600253,6041
AP|MACAPA,1600303,6050
AP|SANTANA,1600600,6157
AP|CUTIAS,1600212,6068
AP|PEDRA BRANCA DO AMAPARI,1600154,6084
AP|FERREIRA GOMES,1600238,6114
AP|SERRA DO NAVIO,1600055,6106
AP|PORTO GRANDE,1600535,6025
AP|MAZAGAO,1600402,6076
AP|LARANJAL DO JARI,1600279,6130
AP|VITORIA DO JARI,1600808,6122
TO|DARCINOPOLIS,1706506,73032
TO|RIACHINHO,1718550,73024
TO|ANANAS,1701002,92193
TO|ANGICO,1701051,73075
TO|NAZARE,1714302,94838
TO|MAURILANDIA DO TOCANTINS,1712801,73059
TO|SANTA TEREZINHA DO TOCANTINS,1720002,73539
TO|TOCANTINOPOLIS,1721208,96210
TO|AGUIARNOPOLIS,1700301,73512
TO|CACHOEIRINHA,1703826,73067
TO|PALMEIRAS DO TOCANTINS,1713809,73040
TO|LUZINOPOLIS,1712454,73520
TO|AUGUSTINOPOLIS,1702554,96857
TO|ARAGUATINS,1702208,92436
TO|CARRASCO BONITO,1703891,73423
TO|SITIO NOVO DO TOCANTINS,1720804,96130
TO|PRAIA NORTE,1718303,92525
TO|SAO BENTO DO TOCANTINS,1720101,73288
TO|BURITI DO TOCANTINS,1703800,92045
TO|ESPERANTINA,1707405,73296
TO|AXIXA DO TOCANTINS,1702901,92576
TO|SAO SEBASTIAO DO TOCANTINS,1720309,96032
TO|ITAGUATINS,1710706,94099
TO|SAMPAIO,1718808,92541
TO|SAO MIGUEL DO TOCANTINS,1720200,73180
TO|PAU D ARCO,1716307,73261
TO|BABACULANDIA,1703008,92592
TO|ARAGUANA,1702158,73318
TO|PIRAQUE,1717206,73016
TO|ARAPOEMA,1702307,92452
TO|ARAGOMINAS,1701309,73334
TO|ARAGUAINA,1702109,92410
TO|NOVA OLINDA,1714880,96636
TO|CARMOLANDIA,1703883,73326
TO|FILADELFIA,1707702,93556
TO|XAMBIOA,1722107,96431
TO|WANDERLANDIA,1722081,96652
TO|SANTA FE DO ARAGUAIA,1718865,73350
TO|MURICILANDIA,1713957,73342
TO|PALMEIRANTE,1715705,73083
TO|BANDEIRANTES DO TOCANTINS,1703057,73580
TO|COLINAS DO TOCANTINS,1705508,93114
TO|BARROLANDIA,1703107,96997
TO|ABREULANDIA,1700251,73008
TO|DIVINOPOLIS DO TOCANTINS,1707108,92185
TO|ARAGUACEMA,1701903,92371
TO|CASEARA,1703909,92088
TO|MARIANOPOLIS DO TOCANTINS,1712504,92304
TO|MONTE SANTO DO TOCANTINS,1713700,73563
TO|RIO DOS BOIS,1718709,73415
TO|MIRACEMA DO TOCANTINS,1713205,94617
TO|DOIS IRMAOS DO TOCANTINS,1707207,93459
TO|MIRANORTE,1713304,94633
TO|GUARAI,1709302,96270
TO|GOIANORTE,1708304,92240
TO|COLMEIA,1716703,95290
TO|PEQUIZEIRO,1716653,92487
TO|COUTO MAGALHAES,1706001,93211
TO|PRESIDENTE KENNEDY,1718402,96296
TO|FORTALEZA DO TABOCAO,1708254,73199
TO|ITAPORA DO TOCANTINS,1711100,94170
TO|TUPIRAMA,1721257,73458
TO|BERNARDO SAYAO,1703206,92002
TO|BRASILANDIA DO TOCANTINS,1703602,73245
TO|TUPIRATINS,1721307,73237
TO|JUARINA,1711803,73253
TO|FATIMA,1707553,96830
TO|OLIVEIRA DE FATIMA,1715507,73466
TO|LAGOA DA CONFUSAO,1711902,73385
TO|NOVA ROSALANDIA,1715002,92401
TO|CHAPADA DE AREIA,1704600,73474
TO|PIUM,1717503,95478
TO|PUGMIL,1718451,73571
TO|CRISTALANDIA,1706100,93238
TO|PARAISO DO TOCANTINS,1716109,95192
TO|ARAGUACU,1702000,92398
TO|DUERE,1707306,93475
TO|FORMOSO DO ARAGUAIA,1708205,93653
TO|SANDOLANDIA,1718840,73156
TO|BREJINHO DE NAZARE,1703701,92738
TO|SANTA RITA DO TOCANTINS,1718899,73547
TO|GURUPI,1709500,93858
TO|PALMEIROPOLIS,1715754,96490
TO|CARIRI DO TOCANTINS,1703867,73300
TO|ALVORADA,1700707,92134
TO|ALIANCA DO TOCANTINS,1700350,96954
TO|CRIXAS DO TOCANTINS,1706258,73555
TO|FIGUEIROPOLIS,1707652,96679
TO|PEIXE,1716604,95273
TO|TALISMA,1720978,73504
TO|JAU DO TOCANTINS,1711506,73369
TO|SUCUPIRA,1720853,73377
TO|SAO SALVADOR DO TOCANTINS,1720259,73393
TO|APARECIDA DO RIO NEGRO,1701101,96970
TO|LAJEADO,1712009,73407
TO|PALMAS,1721000,73440
TO|SILVANOPOLIS,1720655,96598
TO|IPUEIRAS,1709807,73598
TO|MONTE DO CARMO,1713601,94692
TO|PORTO NACIONAL,1718204,95591
TO|TOCANTINIA,1721109,96199
TO|PEDRO AFONSO,1716505,95257
TO|SANTA MARIA DO TOCANTINS,1718881,73130
TO|BOM JESUS DO TOCANTINS,1703305,73121
TO|MATEIROS,1712702,73270
TO|LIZARDA,1712405,95699
TO|NOVO ACORDO,1715101,94994
TO|LAGOA DO TOCANTINS,1711951,73113
TO|RIO SONO,1718758,96792
TO|SAO FELIX DO TOCANTINS,1720150,73105
TO|SANTA TEREZA DO TOCANTINS,1719004,92606
TO|PONTE ALTA DO TOCANTINS,1717909,95532
TO|CAMPOS LINDOS,1703842,73091
TO|GOIATINS,1709005,95338
TO|BARRA DO OURO,1703073,73610
TO|RECURSOLANDIA,1718501,73229
TO|CENTENARIO,1704105,73210
TO|ITACAJA,1710508,94056
TO|ITAPIRATINS,1710904,73202
TO|PINDORAMA DO TOCANTINS,1717008,95370
TO|NATIVIDADE,1714203,94811
TO|CHAPADA DA NATIVIDADE,1705102,73482
TO|SANTA ROSA DO TOCANTINS,1718907,92584
TO|SAO VALERIO,1720499,92681
TO|PARANA,1716208,95214
TO|DIANOPOLIS,1707009,93416
TO|ALMAS,1700400,92070
TO|PORTO ALEGRE DO TOCANTINS,1718006,92509
TO|NOVO JARDIM,1715259,73172
TO|TAGUATINGA,1720903,96156
TO|CONCEICAO DO TOCANTINS,1705607,93130
TO|AURORA DO TOCANTINS,1702703,92533
TO|TAIPAS DO TOCANTINS,1720937,73164
TO|COMBINADO,1705557,92142
TO|ARRAIAS,1702406,92479
TO|RIO DA CONCEICAO,1718659,73431
TO|LAVANDEIRA,1712157,73601
TO|PONTE ALTA DO BOM JESUS,1717800,95516
TO|NOVO ALEGRE,1715150,73148
MA|ALCANTARA,2100204,7030
MA|BACURITUBA,2101350,7145
MA|BEQUIMAO,2101905,7374
MA|CAJAPIO,2102408,7455
MA|CENTRAL DO MARANHAO,2103125,7420
MA|SERRANO DO MARANHAO,2111789,8524
MA|PORTO RICO DO MARANHAO,2109056,8109
MA|CURURUPU,2103703,7714
MA|APICUM ACU,2100832,7064
MA|BACURI,2101301,7250
MA|MIRINZAL,2106805,8354
MA|CEDRAL,2103109,7595
MA|GUIMARAES,2104909,7951
MA|SAO JOSE DE RIBAMAR,2111201,8893
MA|SAO LUIS,2111300,9210
MA|RAPOSA,2109452,8168
MA|PACO DO LUMIAR,2107506,8494
MA|MORROS,2107100,8419
MA|ROSARIO,2109601,8915
MA|PRESIDENTE JUSCELINO,2109205,8818
MA|ICATU,2105104,7994
MA|CACHOEIRA GRANDE,2102374,7226
MA|BACABEIRA,2101251,7129
MA|SANTA RITA,2110203,9016
MA|AXIXA,2101103,7218
MA|PRIMEIRA CRUZ,2109403,8850
MA|BARREIRINHAS,2101707,7331
MA|SANTO AMARO DO MARANHAO,2110278,8249
MA|HUMBERTO DE CAMPOS,2105005,7978
MA|PAULINO NEVES,2108058,8044
MA|TUTOIA,2112506,9431
MA|PRESIDENTE SARNEY,2109270,8141
MA|SAO BENTO,2110500,9075
MA|PINHEIRO,2108603,8699
MA|SANTA HELENA,2109809,8958
MA|PEDRO DO ROSARIO,2108256,8060
MA|PERI MIRIM,2108405,8656
MA|PALMEIRANDIA,2107605,8516
MA|ANAJATUBA,2100709,7137
MA|ARARI,2101004,7196
MA|SAO JOAO BATISTA,2111003,9172
MA|OLINDA NOVA DO MARANHAO,2107456,8028
MA|PENALVA,2108306,8630
MA|SAO VICENTE FERRER,2111706,9270
MA|VIANA,2112803,9490
MA|MATINHA,2106508,8290
MA|CAJARI,2102507,7471
MA|VITORIA DO MEARIM,2112902,9512
MA|IGARAPE DO MEIO,2105153,7684
MA|BELA VISTA DO MARANHAO,2101772,7188
MA|MONCAO,2106904,8370
MA|CONCEICAO DO LAGO ACU,2103554,7501
MA|ITAPECURU MIRIM,2105401,8079
MA|MIRANDA DO NORTE,2106755,9695
MA|PRESIDENTE VARGAS,2109304,8834
MA|PIRAPEMAS,2108801,8737
MA|VARGEM GRANDE,2112704,9474
MA|CANTANHEDE,2102705,7510
MA|NINA RODRIGUES,2107209,8435
MA|MATOES DO NORTE,2106631,7943
MA|TURILANDIA,2112456,8605
MA|TURIACU,2112407,9415
MA|LUIS DOMINGUES,2106201,8230
MA|CARUTAPERA,2102903,7552
MA|GOVERNADOR NUNES FREIRE,2104677,7668
MA|BOA VISTA DO GURUPI,2101970,7323
MA|CENTRO NOVO DO MARANHAO,2103174,7463
MA|JUNCO DO MARANHAO,2105658,7781
MA|AMAPA DO MARANHAO,2100550,7080
MA|CANDIDO MENDES,2102606,7498
MA|GODOFREDO VIANA,2104305,7838
MA|CENTRO DO GUILHERME,2103158,7447
MA|MARACACUME,2106326,7889
MA|MARANHAOZINHO,2106375,7927
MA|ZE DOCA,2114007,9717
MA|SANTA INES,2109908,9571
MA|GOVERNADOR NEWTON BELLO,2104651,7641
MA|SAO JOAO DO CARU,2111029,8303
MA|ALTO ALEGRE DO PINDARE,2100477,7048
MA|NOVA OLINDA DO MARANHAO,2107357,8001
MA|PINDARE MIRIM,2108504,8672
MA|SANTA LUZIA,2110005,8974
MA|ARAGUANA,2100873,7102
MA|TUFILANDIA,2112274,8583
MA|BOM JARDIM,2102002,9555
MA|LAGOA GRANDE DO MARANHAO,2105963,7846
MA|VITORINO FREIRE,2113009,9539
MA|PAULO RAMOS,2108108,9598
MA|LAGO DA PEDRA,2105708,8133
MA|MARAJA DO SENA,2106359,7900
MA|BREJO DE AREIA,2102150,7307
MA|ALTAMIRA DO MARANHAO,2100402,7072
MA|SANTA LUZIA DO PARUA,2110039,9652
MA|PRESIDENTE MEDICI,2109239,8125
MA|BOM JESUS DAS SELVAS,2102036,7269
MA|BURITICUPU,2102325,7340
MA|CIDELANDIA,2103257,7480
MA|MONTES ALTOS,2107001,8397
MA|VILA NOVA DOS MARTIRIOS,2112852,8621
MA|SAO PEDRO DA AGUA BRANCA,2111532,8389
MA|LAJEADO NOVO,2105989,7862
MA|DAVINOPOLIS,2103752,7242
MA|BURITIRANA,2102358,7366
MA|RIBAMAR FIQUENE,2109551,8184
MA|AMARANTE DO MARANHAO,2100600,7110
MA|GOVERNADOR EDISON LOBAO,2104552,7609
MA|SENADOR LA ROCQUE,2111763,8508
MA|IMPERATRIZ,2105302,8036
MA|JOAO LISBOA,2105500,8095
MA|ITINGA DO MARANHAO,2105427,7722
MA|ACAILANDIA,2100055,9610
MA|SAO FRANCISCO DO BREJAO,2110856,8281
MA|PIO XII,2108702,8710
MA|BOM LUGAR,2102077,7285
MA|LAGO VERDE,2105906,8176
MA|SATUBINHA,2111722,8460
MA|OLHO D AGUA DAS CUNHAS,2107407,8478
MA|BACABAL,2101202,7234
MA|SAO MATEUS DO MARANHAO,2111508,9237
MA|SAO LUIS GONZAGA DO MARANHAO,2111409,8052
MA|BERNARDO DO MEARIM,2101939,7200
MA|LAGO DO JUNCO,2105807,8150
MA|LAGO DOS RODRIGUES,2105948,7803
MA|SAO ROBERTO,2111672,8443
MA|LIMA CAMPOS,2106003,8192
MA|TRIZIDELA DO VALE,2112233,8567
MA|PEDREIRAS,2108207,8613
MA|IGARAPE GRANDE,2105203,8010
MA|ESPERANTINOPOLIS,2104008,7773
MA|SAO RAIMUNDO DO DOCA BEZERRA,2111631,8427
MA|POCAO DE PEDRAS,2108900,8753
MA|SANTO ANTONIO DOS LOPES,2110302,9032
MA|JOSELANDIA,2105609,8117
MA|SANTA FILOMENA DO MARANHAO,2109759,8206
MA|TUNTUM,2112308,9393
MA|FORMOSA DA SERRA NEGRA,2104099,7560
MA|SITIO NOVO,2111805,9296
MA|FERNANDO FALCAO,2104081,7544
MA|BARRA DO CORDA,2101608,7315
MA|ITAIPAVA DO GRAJAU,2105351,7706
MA|GRAJAU,2104800,7935
MA|ARAME,2100956,9679
MA|JENIPAPO DOS VIEIRAS,2105476,7765
MA|PRESIDENTE DUTRA,2109106,8796
MA|GOVERNADOR EUGENIO BARROS,2104602,7897
MA|GONCALVES DIAS,2104404,7854
MA|GOVERNADOR ARCHER,2104503,7870
MA|GRACA ARANHA,2104701,7919
MA|SENADOR ALEXANDRE COSTA,2111748,8486
MA|FORTUNA,2104206,7811
MA|GOVERNADOR LUIZ ROCHA,2104628,7625
MA|DOM PEDRO,2103802,7730
MA|SAO JOSE DOS BASILIOS,2111250,8362
MA|SAO DOMINGOS DO MARANHAO,2110708,9113
MA|SANTA QUITERIA DO MARANHAO,2110104,8990
MA|MAGALHAES DE ALMEIDA,2106300,8257
MA|AGUA DOCE DO MARANHAO,2100154,7005
MA|SANTANA DO MARANHAO,2110237,8222
MA|SAO BERNARDO,2110609,9091
MA|ARAIOSES,2100907,7170
MA|BELAGUA,2101731,7161
MA|SAO BENEDITO DO RIO PRETO,2110401,9059
MA|CHAPADINHA,2103208,7617
MA|MILAGRES DO MARANHAO,2106672,7960
MA|URBANO SANTOS,2112605,9458
MA|BREJO,2102101,7390
MA|MATA ROMA,2106409,8273
MA|ANAPURUS,2100808,7153
MA|BURITI,2102200,7412
MA|ALTO ALEGRE DO MARANHAO,2100436,7021
MA|CAPINZAL DO NORTE,2102754,7404
MA|PERITORO,2108454,8087
MA|TIMBIRAS,2112100,9350
MA|CODO,2103307,7633
MA|COROATA,2103604,7692
MA|DUQUE BACELAR,2103901,7757
MA|COELHO NETO,2103406,7650
MA|AFONSO CUNHA,2100105,7013
MA|ALDEIAS ALTAS,2100303,7056
MA|SAO JOAO DO SOTER,2111078,8346
MA|CAXIAS,2103000,7579
MA|TIMON,2112209,9377
MA|MATOES,2106607,8311
MA|BURITI BRAVO,2102309,7439
MA|PARNARAMA,2107803,8559
MA|LAGOA DO MATO,2105922,7820
MA|PASTOS BONS,2108009,8591
MA|SAO FRANCISCO DO MARANHAO,2110906,9156
MA|BARAO DE GRAJAU,2101509,7293
MA|PASSAGEM FRANCA,2107902,8575
MA|SAO JOAO DOS PATOS,2111102,9199
MA|SUCUPIRA DO RIACHAO,2111953,8540
MA|NOVA IORQUE,2107308,8451
MA|PARAIBANO,2107704,8532
MA|SUCUPIRA DO NORTE,2111904,9318
MA|MIRADOR,2106706,8338
MA|JATOBA,2105450,7749
MA|COLINAS,2103505,7676
MA|CAMPESTRE DO MARANHAO,2102556,7382
MA|SAO JOAO DO PARAISO,2111052,8320
MA|ESTREITO,2104057,9636
MA|PORTO FRANCO,2109007,8770
MA|SAO PEDRO DOS CRENTES,2111573,8400
MA|CAROLINA,2102804,7536
MA|BALSAS,2101400,7277
MA|ALTO PARNAIBA,2100501,7099
MA|TASSO FRAGOSO,2112001,9334
MA|FEIRA NOVA DO MARANHAO,2104073,7528
MA|RIACHAO,2109502,8877
MA|SAO DOMINGOS DO AZEITAO,2110658,8265
MA|BENEDITO LEITE,2101806,7358
MA|SAO FELIX DE BALSAS,2110807,9130
MA|FORTALEZA DOS NOGUEIRAS,2104107,7790
MA|SAMBAIBA,2109700,8931
MA|SAO RAIMUNDO DAS MANGABEIRAS,2111607,9253
MA|LORETO,2106102,8214
MA|NOVA COLINAS,2107258,7986
PI|MIGUEL ALVES,2206209,11231
PI|CABECEIRAS DO PIAUI,2202059,10120
